trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
0,1,-0.12955270585020032,0.12955270585020032,5.008188,"{'n_estimators': 624, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': None}",624,log_loss,,12,7,0.1,,Titanic,0.1520592793866828
1,1,-0.11997829188773708,0.11997829188773708,5.646167,"{'n_estimators': 704, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.25, 'max_samples': 0.9}",704,entropy,,5,5,0.25,0.9,Titanic,0.1520592793866828
2,1,-0.1273381835159256,0.1273381835159256,3.894907,"{'n_estimators': 526, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': 0.25, 'max_samples': 0.5}",526,entropy,,6,6,0.25,0.5,Titanic,0.1520592793866828
3,1,-0.1222660903627023,0.1222660903627023,7.17254,"{'n_estimators': 937, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': 0.7}",937,log_loss,20.0,16,4,0.33,0.7,Titanic,0.1520592793866828
4,1,-0.12154367667686679,0.12154367667686679,0.907655,"{'n_estimators': 107, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 17, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_samples': 0.9}",107,log_loss,10.0,17,6,sqrt,0.9,Titanic,0.1520592793866828
5,1,-0.11956083872641954,0.11956083872641954,2.000417,"{'n_estimators': 267, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': 0.5}",267,entropy,10.0,2,1,0.1,0.5,Titanic,0.1520592793866828
6,1,-0.11843083434567565,0.11843083434567565,3.424529,"{'n_estimators': 420, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': None}",420,entropy,10.0,16,2,0.33,,Titanic,0.1520592793866828
7,1,-0.12416093603579252,0.12416093603579252,9.288742,"{'n_estimators': 1245, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': 0.5}",1245,log_loss,10.0,18,3,0.33,0.5,Titanic,0.1520592793866828
8,1,-0.11906865544522613,0.11906865544522613,4.000959,"{'n_estimators': 498, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.7}",498,entropy,20.0,4,5,sqrt,0.7,Titanic,0.1520592793866828
9,1,-0.11889263224170683,0.11889263224170683,7.904431,"{'n_estimators': 986, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",986,gini,,14,1,0.25,0.9,Titanic,0.1520592793866828
10,1,-0.11758248787142178,0.11758248787142178,11.32379,"{'n_estimators': 1423, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': None}",1423,gini,15.0,9,3,0.33,,Titanic,0.1520592793866828
11,2,-0.12142403911234162,0.12142403911234162,2.222069,"{'n_estimators': 1451, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 9, 'max_features': 0.33, 'max_samples': None}",1451,gini,15.0,9,9,0.33,,Titanic,0.1520592793866828
12,1,-0.11767210249314002,0.11767210249314002,9.747354,"{'n_estimators': 1222, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': None}",1222,gini,15.0,9,3,0.33,,Titanic,0.1520592793866828
13,1,-0.11740720859976814,0.11740720859976814,11.884313,"{'n_estimators': 1498, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': None}",1498,gini,15.0,8,3,0.33,,Titanic,0.1520592793866828
14,1,-0.11741115693952893,0.11741115693952893,11.812503,"{'n_estimators': 1487, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': None}",1487,gini,15.0,8,3,0.33,,Titanic,0.1520592793866828
15,1,-0.11817293661561123,0.11817293661561123,9.523808,"{'n_estimators': 1190, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': None}",1190,gini,15.0,12,2,0.33,,Titanic,0.1520592793866828
16,1,-0.11838907727799594,0.11838907727799594,12.054966,"{'n_estimators': 1454, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': None}",1454,gini,15.0,6,4,0.33,,Titanic,0.1520592793866828
17,2,-0.11566803790516197,0.11566803790516197,6.727109,"{'n_estimators': 996, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': None}",996,gini,15.0,7,2,0.1,,Titanic,0.1520592793866828
18,2,-0.12152030689646867,0.12152030689646867,2.120099,"{'n_estimators': 1318, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 11, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'max_samples': 0.7}",1318,gini,15.0,11,9,sqrt,0.7,Titanic,0.1520592793866828
19,2,-0.11610288921301846,0.11610288921301846,1.338956,"{'n_estimators': 820, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 0.33, 'max_samples': None}",820,gini,15.0,8,4,0.33,,Titanic,0.1520592793866828
20,2,-0.11928183207065736,0.11928183207065736,1.829646,"{'n_estimators': 1153, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_features': 0.33, 'max_samples': None}",1153,gini,20.0,3,7,0.33,,Titanic,0.1520592793866828
21,1,-0.11802591889116827,0.11802591889116827,12.115459,"{'n_estimators': 1488, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': None}",1488,gini,15.0,10,3,0.33,,Titanic,0.1520592793866828
22,1,-0.11742113916165123,0.11742113916165123,10.802785,"{'n_estimators': 1348, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 0.33, 'max_samples': None}",1348,gini,15.0,8,3,0.33,,Titanic,0.1520592793866828
23,1,-0.11653178273317552,0.11653178273317552,11.18841,"{'n_estimators': 1369, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 0.33, 'max_samples': None}",1369,gini,15.0,8,2,0.33,,Titanic,0.1520592793866828
24,1,-0.11643278941652738,0.11643278941652738,9.434934,"{'n_estimators': 1103, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': None}",1103,gini,15.0,7,1,0.33,,Titanic,0.1520592793866828
25,1,-0.1164795156832941,0.1164795156832941,9.099895,"{'n_estimators': 1094, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': None}",1094,gini,15.0,5,1,0.33,,Titanic,0.1520592793866828
26,1,-0.1166363202171721,0.1166363202171721,8.593006,"{'n_estimators': 1081, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.7}",1081,gini,15.0,4,1,0.25,0.7,Titanic,0.1520592793866828
27,1,-0.11597403104005985,0.11597403104005985,9.510736,"{'n_estimators': 1097, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1097,gini,15.0,6,1,sqrt,0.9,Titanic,0.1520592793866828
28,1,-0.1153328546510605,0.1153328546510605,7.840921,"{'n_estimators': 852, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",852,log_loss,20.0,5,1,sqrt,0.9,Titanic,0.1520592793866828
29,2,-0.12048993998908941,0.12048993998908941,1.607355,"{'n_estimators': 851, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",851,log_loss,20.0,2,1,sqrt,0.9,Titanic,0.1520592793866828
30,1,-0.11590532553973978,0.11590532553973978,6.158188,"{'n_estimators': 694, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",694,log_loss,20.0,6,2,sqrt,0.9,Titanic,0.1520592793866828
31,1,-0.11590155026603499,0.11590155026603499,6.281726,"{'n_estimators': 699, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",699,log_loss,20.0,6,2,sqrt,0.9,Titanic,0.1520592793866828
32,1,-0.11593492113107917,0.11593492113107917,6.324974,"{'n_estimators': 655, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",655,log_loss,20.0,4,2,sqrt,0.9,Titanic,0.1520592793866828
33,1,-0.1159745992905784,0.1159745992905784,9.694042,"{'n_estimators': 703, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",703,log_loss,20.0,4,2,sqrt,0.9,Titanic,0.1520592793866828
34,1,-0.11568676771748802,0.11568676771748802,9.98287,"{'n_estimators': 662, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",662,log_loss,20.0,5,2,sqrt,0.9,Titanic,0.1520592793866828
35,1,-0.11641300073121372,0.11641300073121372,8.606548,"{'n_estimators': 585, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",585,log_loss,20.0,5,4,sqrt,0.9,Titanic,0.1520592793866828
36,1,-0.11563626584574457,0.11563626584574457,11.679788,"{'n_estimators': 884, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",884,log_loss,20.0,6,2,sqrt,0.9,Titanic,0.1520592793866828
37,2,-0.11501238358316504,0.11501238358316504,1.908989,"{'n_estimators': 777, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",777,log_loss,20.0,3,5,sqrt,0.9,Titanic,0.1520592793866828
38,1,-0.1163837129404873,0.1163837129404873,4.656324,"{'n_estimators': 375, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.9}",375,log_loss,20.0,5,4,sqrt,0.9,Titanic,0.1520592793866828
39,2,-0.11634513132735616,0.11634513132735616,2.437276,"{'n_estimators': 893, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_samples': 0.9}",893,log_loss,20.0,3,2,0.1,0.9,Titanic,0.1520592793866828
40,2,-0.11937873540449133,0.11937873540449133,1.870102,"{'n_estimators': 788, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_samples': 0.5}",788,log_loss,,2,6,sqrt,0.5,Titanic,0.1520592793866828
41,1,-0.11588705081122067,0.11588705081122067,9.079765,"{'n_estimators': 711, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",711,log_loss,20.0,6,2,sqrt,0.9,Titanic,0.1520592793866828
42,1,-0.11564262148622362,0.11564262148622362,6.706416,"{'n_estimators': 580, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",580,log_loss,20.0,7,1,sqrt,0.9,Titanic,0.1520592793866828
43,1,-0.11563091586007376,0.11563091586007376,6.755202,"{'n_estimators': 572, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",572,log_loss,20.0,7,1,sqrt,0.9,Titanic,0.1520592793866828
44,1,-0.11568282193324686,0.11568282193324686,6.769101,"{'n_estimators': 491, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",491,log_loss,20.0,7,1,sqrt,0.9,Titanic,0.1520592793866828
45,1,-0.11577399837246424,0.11577399837246424,4.635991,"{'n_estimators': 505, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 0.25, 'max_samples': 0.9}",505,entropy,10.0,7,1,0.25,0.9,Titanic,0.1520592793866828
46,1,-0.11569639549432216,0.11569639549432216,3.914801,"{'n_estimators': 421, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",421,log_loss,20.0,10,1,sqrt,0.9,Titanic,0.1520592793866828
47,2,-0.11687743099232992,0.11687743099232992,0.926922,"{'n_estimators': 582, 'criterion': 'log_loss', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.5}",582,log_loss,,12,1,sqrt,0.5,Titanic,0.1520592793866828
48,1,-0.11580372004376016,0.11580372004376016,2.207611,"{'n_estimators': 250, 'criterion': 'log_loss', 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",250,log_loss,20.0,7,1,sqrt,0.9,Titanic,0.1520592793866828
49,2,-0.11560451355400524,0.11560451355400524,0.611594,"{'n_estimators': 337, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_samples': 0.9}",337,entropy,20.0,9,1,0.1,0.9,Titanic,0.1520592793866828
